Equipe,Posicao,Nome,PPG,RPG,APG,Altura,Peso,País,Idade,Data_de_nascimento,DRAFT,Experiência,Mês
Washington Wizards,Guard,Marcus Smart,9.3,2.2,3.5,1.91,100,USA,31 years,1994-03-06,2014 R1 Pick 6,10 Years,3
Miami Heat,Guard,Dru Smith,6.2,2.6,1.6,1.88,92,USA,27 years,1997-12-30,Undrafted,2 Years,12
Chicago Bulls,Forward-Center,Jalen Smith,8.1,5.5,1.0,2.06,98,USA,25 years,2000-03-16,2020 R1 Pick 10,4 Years,3
Detroit Pistons,Forward,Tolu Smith,--,--,--,2.11,NA,USA,24 years,2000-07-26,Undrafted,Rookie,7
Milwaukee Bucks,Forward,Tyler Smith,2.3,1.1,0.2,2.06,102,USA,20 years,2004-11-02,2024 R2 Pick 33,Rookie,11
Houston Rockets,Forward,Jabari Smith Jr.,12.2,6.6,1.0,2.08,100,USA,21 years,2003-05-13,2022 R1 Pick 3,2 Years,5
Charlotte Hornets,Guard,Nick Smith Jr.,9.4,2.0,2.1,1.88,84,USA,20 years,2004-04-18,2023 R1 Pick 27,1 Year,4
San Antonio Spurs,Forward,Jeremy Sochan,11.7,6.7,2.4,2.03,104,Poland,21 years,2003-05-20,2022 R1 Pick 9,2 Years,5
Memphis Grizzlies,Guard,Cam Spencer,4.1,1.4,1.3,1.93,93,USA,24 years,2000-04-06,2024 R2 Pick 53,Rookie,4
Golden State Warriors,Guard,Pat Spencer,2.6,1.4,1.2,1.91,93,USA,28 years,1996-07-04,Undrafted,1 Year,7
Utah Jazz,Guard,Jaden Springer,2.2,1.0,0.7,1.93,92,USA,22 years,2002-09-25,2021 R1 Pick 28,3 Years,9
Miami Heat, Guard,Isaiah Stevens,--,--,--,1.83,84,USA,24 years,2000-11-01,Undrafted,Rookie,11
Memphis Grizzlies,Forward,Lamar Stevens,4.2,3.2,0.6,2.01,104,USA,27 years,1997-07-09,Undrafted,4 Years,7
Detroit Pistons,Forward-Center,Isaiah Stewart,5.9,5.6,1.7,2.03,113,USA,23 years,2001-05-22,2020 R1 Pick 16,4 Years,5
Denver Nuggets,Guard,Julian Strawther,9.4,2.2,1.3,1.98,93,USA,22 years,2002-04-18,2023 R1 Pick 29,1 Year,4
Cleveland Cavaliers,Guard-Forward,Max Strus,9.5,4.3,3.0,1.96,98,USA,28 years,1996-03-28,Undrafted,5 Years,3
Orlando Magic,Guard,Jalen Suggs,16.2,4.0,3.7,1.96,93,USA,23 years,2001-06-03,2021 R1 Pick 5,3 Years,6
NA,NA,Cole Swider,--,1.0,0.5,2.03,100,USA,25 years,1999-05-08,Undrafted,2 Years,5
Houston Rockets,Forward,Jae'Sean Tate,3.6,2.3,0.9,1.93,104,USA,29 years,1995-10-28,Undrafted,4 Years,10
Boston Celtics,Forward-Guard,Jayson Tatum,27.1,8.7,5.9,2.03,95,USA,27 years,1998-03-03,2017 R1 Pick 3,7 Years,3
Sacramento Kings,Forward,Terry Taylor,1.5,1.2,0.3,1.93,104,USA,25 years,1999-09-23,Undrafted,3 Years,9
Toronto Raptors,Guard-Forward,Garrett Temple,1.3,1.0,1.1,1.96,88,USA,38 years,1986-05-08,Undrafted,14 Years,5
Chicago Bulls,Forward,Dalen Terry,4.3,1.5,1.3,2.01,88,USA,22 years,2002-07-12,2022 R1 Pick 18,2 Years,7
NA,NA,Daniel Theis,4.3,4.3,1.6,2.03,111,Germany,32 years,1992-04-04,Undrafted,7 Years,4
Brooklyn Nets,Guard,Cam Thomas,24.0,3.3,3.8,1.91,95,Japan,23 years,2001-10-13,2021 R1 Pick 27,3 Years,10
Houston Rockets,Guard-Forward,Amen Thompson,14.1,8.3,3.7,2.01,91,USA,22 years,2003-01-30,2023 R1 Pick 4,1 Year,1
Detroit Pistons,Guard-Forward,Ausar Thompson,9.6,4.9,2.2,1.98,93,USA,22 years,2003-01-30,2023 R1 Pick 5,1 Year,1
Orlando Magic,Guard,Ethan Thompson,--,--,--,1.96,88,Puerto Rico,25 years,1999-05-04,Undrafted,Rookie,5
Dallas Mavericks,Guard,Klay Thompson,14.5,3.6,2.1,1.96,100,USA,35 years,1990-02-08,2011 R1 Pick 11,11 Years,2
Cleveland Cavaliers,Center-Forward,Tristan Thompson,1.5,2.7,0.6,2.06,115,Canada,34 years,1991-03-13,2011 R1 Pick 4,13 Years,3
Washington Wizards,Forward,JT Thor,3.4,1.2,0.3,2.06,92,USA,22 years,2002-08-26,2021 R2 Pick 37,3 Years,8
Portland Trail Blazers,Guard-Forward,Matisse Thybulle,3.8,3.8,1.3,1.96,91,USA,28 years,1997-03-04,2019 R1 Pick 20,5 Years,3
Boston Celtics,Forward,Xavier Tillman,1.0,1.3,0.2,2.01,111,USA,26 years,1999-01-12,2020 R2 Pick 35,4 Years,1
Cleveland Cavaliers,Forward,Nae'Qwan Tomlin,3.3,2.0,--,2.08,95,USA,24 years,2000-12-19,Undrafted,Rookie,12
Oklahoma City Thunder,Guard,Nikola Topi?,--,--,--,1.98,91,Serbia,19 years,2005-08-10,2024 R1 Pick 12,Rookie,8
Atlanta Hawks,Forward,Jacob Toppin,0.4,0.7,0.3,2.03,91,USA,24 years,2000-05-08,Undrafted,1 Year,5
Indiana Pacers,Forward,Obi Toppin,10.3,4.1,1.6,2.06,100,USA,27 years,1998-03-04,2020 R1 Pick 8,4 Years,3
New York Knicks,Center-Forward,Karl-Anthony Towns,24.5,12.9,3.0,2.13,112,USA,29 years,1995-11-15,2015 R1 Pick 1,9 Years,11
NA,NA,Armel Traor�,1.6,1.7,0.1,2.06,111,France,22 years,2003-01-23,Undrafted,Rookie,1
Cleveland Cavaliers,Forward,Luke Travers,0.9,1.3,0.6,2.01,94,Australia,23 years,2001-09-03,2022 R2 Pick 56,Rookie,9
Milwaukee Bucks,Guard,Gary Trent Jr.,10.8,2.3,1.2,1.96,93,USA,26 years,1999-01-18,2018 R2 Pick 37,6 Years,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks, Forward,P.J. Tucker,--,--,--,1.96,111,USA,39 years,1985-05-05,2006 R2 Pick 35,13 Years,5
Indiana Pacers,Center-Forward,Myles Turner,15.6,6.5,1.6,2.11,113,USA,28 years,1996-03-24,2015 R1 Pick 11,9 Years,3
Denver Nuggets,Forward,Hunter Tyson,2.4,1.5,0.4,2.03,98,USA,24 years,2000-06-13,2023 R2 Pick 37,1 Year,6
Cleveland Cavaliers,Guard-Forward,Jaylon Tyson,3.0,1.9,0.9,1.98,98,USA,22 years,2002-12-02,2024 R1 Pick 20,Rookie,12
Milwaukee Bucks,Guard,Stanley Umude,0.6,0.8,0.2,1.98,95,USA,25 years,1999-04-12,Undrafted,2 Years,4
Sacramento Kings,Center,Jonas Valan?i?nas,11.0,8.2,2.2,2.11,120,Lithuania,32 years,1992-05-06,2011 R1 Pick 5,12 Years,5
Los Angeles Lakers,Forward,Jarred Vanderbilt,4.2,5.0,1.3,2.03,97,USA,25 years,1999-04-03,2018 R2 Pick 41,6 Years,4
Houston Rockets,Guard,Fred VanVleet,14.6,4.0,5.6,1.83,89,USA,31 years,1994-02-25,Undrafted,8 Years,2
San Antonio Spurs,Guard-Forward,Devin Vassell,16.1,3.9,2.9,1.96,91,USA,24 years,2000-08-23,2020 R1 Pick 11,4 Years,8
Los Angeles Lakers,Guard,Gabe Vincent,6.2,1.2,1.5,1.88,91,USA,28 years,1996-06-14,Undrafted,5 Years,6
Chicago Bulls,Center,Nikola Vu?evi?,18.6,10.1,3.4,2.08,118,Montenegro,34 years,1990-10-24,2011 R1 Pick 16,13 Years,10
Washington Wizards,Forward,Tristan Vukcevic,7.3,3.2,1.0,2.08,100,Italy,22 years,2003-03-11,2023 R2 Pick 42,1 Year,3
Cleveland Cavaliers,Forward-Center,Dean Wade,5.5,4.6,1.3,2.06,103,USA,28 years,1996-11-20,Undrafted,5 Years,11
Orlando Magic,Forward,Franz Wagner,24.2,5.7,4.7,2.08,100,Germany,23 years,2001-08-27,2021 R1 Pick 8,3 Years,8
Orlando Magic,Forward-Center,Moritz Wagner,12.9,4.9,1.4,2.11,111,Germany,27 years,1997-04-26,2018 R1 Pick 25,6 Years,4
Portland Trail Blazers,Forward,Jabari Walker,4.7,3.5,0.6,2.01,108,USA,22 years,2002-07-30,2022 R2 Pick 57,2 Years,7
Indiana Pacers,Forward,Jarace Walker,5.5,2.8,1.3,2.01,107,USA,21 years,2003-09-04,2023 R1 Pick 8,1 Year,9
Philadelphia 76ers,Guard-Forward,Lonnie Walker IV,7.7,3.0,1.8,1.93,93,USA,26 years,1998-12-14,2018 R1 Pick 18,6 Years,12
Oklahoma City Thunder,Guard,Cason Wallace,8.2,3.5,2.5,1.91,88,USA,21 years,2003-11-07,2023 R1 Pick 10,1 Year,11
Atlanta Hawks,Guard,Keaton Wallace,5.4,1.4,2.2,1.91,84,USA,26 years,1999-02-26,Undrafted,Rookie,2
Boston Celtics,Guard,Jordan Walsh,1.6,1.3,0.4,1.98,93,USA,21 years,2004-03-03,2023 R2 Pick 38,1 Year,3
Toronto Raptors,Guard,Ja'Kobe Walter,7.8,2.9,1.3,1.96,82,USA,20 years,2004-09-04,2024 R1 Pick 19,Rookie,9
Miami Heat,Center,Kel'el Ware,8.9,6.8,0.9,2.13,104,USA,20 years,2004-04-20,2024 R1 Pick 15,Rookie,4
Dallas Mavericks,Forward,P.J. Washington,14.8,8.0,2.2,1.98,104,USA,26 years,1998-08-23,2019 R1 Pick 12,5 Years,8
Phoenix Suns,Guard,TyTy Washington Jr.,2.4,0.9,1.2,1.91,88,USA,23 years,2001-11-15,2022 R1 Pick 29,2 Years,11
Detroit Pistons,Forward,Lindy Waters III,4.9,2.2,1.0,1.98,95,USA,27 years,1997-07-28,Undrafted,3 Years,7
Brooklyn Nets,Guard-Forward,Trendon Watford,9.7,3.3,2.3,2.03,108,USA,24 years,2000-11-09,Undrafted,3 Years,11
New York Knicks,Forward,Anton Watson,1.2,0.4,0.4,2.03,102,USA,24 years,2000-10-06,2024 R2 Pick 54,Rookie,10
Denver Nuggets,Guard,Peyton Watson,7.9,3.3,1.4,2.01,91,USA,22 years,2002-09-11,2022 R1 Pick 30,2 Years,9
Memphis Grizzlies,Forward,Jaylen Wells,10.6,3.3,1.7,2.03,NA,USA,21 years,2003-08-26,2024 R2 Pick 39,Rookie,8
San Antonio Spurs,Forward-Center,Victor Wembanyama,24.3,11.0,3.7,2.21,107,France,21 years,2004-01-04,2023 R1 Pick 1,1 Year,1
San Antonio Spurs,Guard,Blake Wesley,3.2,0.8,1.9,1.91,84,USA,22 years,2003-03-16,2022 R1 Pick 25,2 Years,3
Denver Nuggets,Guard,Russell Westbrook,13.2,5.1,6.3,1.93,91,USA,36 years,1988-11-12,2008 R1 Pick 4,16 Years,11
Chicago Bulls,Guard,Coby White,20.0,3.6,4.4,1.96,88,USA,25 years,2000-02-16,2019 R1 Pick 7,5 Years,2
Boston Celtics,Guard,Derrick White,16.6,4.4,4.4,1.93,86,USA,30 years,1994-07-02,2017 R1 Pick 29,7 Years,7
Brooklyn Nets,Guard-Forward,Dariq Whitehead,3.9,0.6,0.1,1.98,100,USA,20 years,2004-08-01,2023 R1 Pick 22,1 Year,8
Houston Rockets,Forward,Cam Whitmore,9.0,3.0,0.9,2.01,104,USA,20 years,2004-07-08,2023 R1 Pick 20,1 Year,7
Oklahoma City Thunder,Guard,Aaron Wiggins,11.6,3.8,1.7,1.96,86,USA,26 years,1999-01-02,2021 R2 Pick 55,3 Years,1
Miami Heat,Forward,Andrew Wiggins,17.9,4.5,2.5,2.01,89,Canada,30 years,1995-02-23,2014 R1 Pick 1,10 Years,2
NA,NA,Alondes Williams,5.0,--,1.0,1.93,95,USA,25 years,1999-06-19,Undrafted,2 Years,6
Dallas Mavericks,Guard,Brandon Williams,7.2,1.6,2.1,1.85,86,USA,25 years,1999-11-22,Undrafted,2 Years,11
Utah Jazz,Forward,Cody Williams,4.6,2.3,1.2,2.01,86,USA,20 years,2004-11-20,2024 R1 Pick 10,Rookie,11
Charlotte Hornets,Forward,Grant Williams,10.4,5.1,2.3,1.98,107,USA,26 years,1998-11-30,2019 R1 Pick 22,5 Years,11
Oklahoma City Thunder,Guard-Forward,Jalen Williams,21.3,5.5,5.3,1.96,96,USA,23 years,2001-04-14,2022 R1 Pick 12,2 Years,4
Oklahoma City Thunder,Forward,Jaylin Williams,5.7,5.6,2.6,2.06,109,USA,22 years,2002-06-29,2022 R2 Pick 34,2 Years,6
Oklahoma City Thunder,Guard-Forward,Kenrich Williams,5.9,3.3,1.2,1.98,95,USA,30 years,1994-12-02,Undrafted,6 Years,12
Charlotte Hornets,Center,Mark Williams,15.5,10.1,2.5,2.13,109,USA,23 years,2001-12-16,2022 R1 Pick 15,2 Years,12
Houston Rockets,Guard,Nate Williams,2.8,0.5,0.4,1.96,93,USA,26 years,1999-02-12,Undrafted,2 Years,2
Chicago Bulls,Forward,Patrick Williams,8.9,3.9,2.0,2.01,98,USA,23 years,2001-08-26,2020 R1 Pick 4,4 Years,8
Brooklyn Nets,Forward,Ziaire Williams,10.3,4.8,1.4,2.06,84,USA,23 years,2001-09-12,2021 R1 Pick 10,3 Years,9
Portland Trail Blazers,Center-Forward,Robert Williams III,5.8,5.9,1.1,2.06,113,USA,27 years,1997-10-17,2018 R1 Pick 27,6 Years,10
Memphis Grizzlies,Guard,Vince Williams Jr.,6.6,3.7,2.1,1.93,93,USA,24 years,2000-08-30,2022 R2 Pick 47,2 Years,8
New Orleans Pelicans,Forward,Zion Williamson,24.6,7.2,5.3,1.98,129,USA,24 years,2000-07-06,2019 R1 Pick 1,4 Years,7
Brooklyn Nets,Forward,Jalen Wilson,9.0,3.2,1.8,1.98,100,USA,24 years,2000-11-04,2023 R2 Pick 51,1 Year,11
NA,NA,James Wiseman,6.0,1.0,--,2.11,109,USA,23 years,2001-03-31,2020 R1 Pick 2,3 Years,3
NA,NA,Isaiah Wong,6.0,1.6,1.4,1.91,84,USA,24 years,2001-01-28,2023 R2 Pick 55,1 Year,1
New York Knicks,Guard,Delon Wright,2.3,1.6,1.6,1.96,84,USA,32 years,1992-04-26,2015 R1 Pick 20,9 Years,4
Philadelphia 76ers,Forward,Guerschon Yabusele,10.7,5.6,2.0,2.03,120,France,29 years,1995-12-17,2016 R1 Pick 16,2 Years,12
NA,NA,Cui Yongxi,0.6,0.4,--,1.96,86,China,21 years,2003-05-28,Undrafted,Rookie,5
Chicago Bulls,Guard,Jahmir Young,--,1.0,1.0,1.85,84,USA,24 years,2000-10-07,Undrafted,Rookie,10
Atlanta Hawks,Guard,Trae Young,24.1,3.2,11.4,1.85,74,USA,26 years,1998-09-19,2018 R1 Pick 5,6 Years,9
LA Clippers,Center,Ivica Zubac,16.4,12.5,2.5,2.13,109,Croatia,28 years,1997-03-18,2016 R2 Pick 32,8 Years,3
