Equipe,Posicao,Nome,PPG,RPG,APG,Altura,Peso,País,Idade,Data_de_nascimento,DRAFT,Experiência,Mês
NA,NA,Marcus Garrett,7.0,1.5,3.3,1.96,93,USA,26 years,1998-11-09,Undrafted,1 Year,11
Minnesota Timberwolves,Center,Luka Garza,3.8,1.5,0.3,2.08,110,USA,26 years,1998-12-27,2021 R2 Pick 52,3 Years,12
Utah Jazz,Guard,Keyonte George,16.9,3.8,5.8,1.93,84,USA,21 years,2003-11-08,2023 R1 Pick 16,1 Year,11
Washington Wizards,Forward,Kyshawn George,8.8,4.3,2.5,2.03,91,Switzerland,21 years,2003-12-12,2024 R1 Pick 24,Rookie,12
Philadelphia 76ers,Forward,Paul George,16.2,5.3,4.3,2.03,100,USA,34 years,1990-05-02,2010 R1 Pick 10,14 Years,5
Charlotte Hornets,Forward,Taj Gibson,3.0,3.4,0.6,2.06,105,USA,39 years,1985-06-24,2009 R1 Pick 26,15 Years,6
Chicago Bulls,Guard,Josh Giddey,14.0,7.7,6.9,2.03,98,Australia,22 years,2002-10-10,2021 R1 Pick 6,3 Years,10
Oklahoma City Thunder,Guard,Shai Gilgeous-Alexander,32.9,5.1,6.3,1.98,88,Canada,26 years,1998-07-12,2018 R1 Pick 11,6 Years,7
Washington Wizards,Forward,Anthony Gill,2.3,1.0,0.3,2.03,104,USA,32 years,1992-10-17,Undrafted,4 Years,10
Phoenix Suns,Guard,Collin Gillespie,3.8,1.6,1.8,1.85,88,USA,25 years,1999-06-25,Undrafted,1 Year,6
Minnesota Timberwolves,Center,Rudy Gobert,10.9,10.3,1.8,2.16,117,France,32 years,1992-06-26,2013 R1 Pick 27,11 Years,6
Los Angeles Lakers,Guard,Jordan Goodwin,7.0,4.2,1.5,1.96,98,USA,26 years,1998-10-23,Undrafted,3 Years,10
Denver Nuggets,Forward,Aaron Gordon,14.3,5.0,3.0,2.03,107,USA,29 years,1995-09-16,2014 R1 Pick 4,10 Years,9
Philadelphia 76ers,Guard,Eric Gordon,6.8,1.2,1.7,1.91,98,USA,36 years,1988-12-25,2008 R1 Pick 7,16 Years,12
NA,NA,Jazian Gortman,1.5,0.3,0.4,1.88,83,USA,22 years,2003-03-14,Undrafted,Rookie,3
Portland Trail Blazers,Forward,Jerami Grant,14.4,3.5,2.1,2.01,95,USA,31 years,1994-03-12,2014 R2 Pick 39,10 Years,3
Milwaukee Bucks,Guard,AJ Green,7.3,2.2,1.4,1.93,86,USA,25 years,1999-09-27,Undrafted,2 Years,9
Golden State Warriors,Forward,Draymond Green,9.2,6.2,5.7,1.98,104,USA,35 years,1990-03-04,2012 R2 Pick 35,12 Years,3
Houston Rockets,Guard,Jalen Green,21.2,4.6,3.4,1.93,84,USA,23 years,2002-02-09,2021 R1 Pick 2,3 Years,2
Cleveland Cavaliers,Guard,Javonte Green,5.6,3.4,0.9,1.96,93,USA,31 years,1993-07-23,Undrafted,5 Years,7
Houston Rockets,Forward,Jeff Green,4.9,1.7,0.5,2.03,107,USA,38 years,1986-08-28,2007 R1 Pick 5,16 Years,8
Charlotte Hornets,Guard,Josh Green,7.4,2.6,1.6,1.96,91,Australia,24 years,2000-11-16,2020 R1 Pick 18,4 Years,11
Philadelphia 76ers,Guard,Quentin Grimes,13.6,4.2,2.7,1.93,95,USA,24 years,2000-05-08,2021 R1 Pick 25,3 Years,5
Atlanta Hawks,Forward,Mouhamed Gueye,5.9,3.3,0.7,2.08,95,Senegal,22 years,2002-11-09,2023 R2 Pick 39,1 Year,11
Los Angeles Lakers,Forward,Rui Hachimura,13.1,5.2,1.5,2.03,104,Japan,27 years,1998-02-08,2019 R1 Pick 9,5 Years,2
Indiana Pacers,Guard,Tyrese Haliburton,18.4,3.6,9.1,1.96,84,USA,25 years,2000-02-29,2020 R1 Pick 12,4 Years,2
Denver Nuggets,Center,PJ Hall,1.4,1.1,0.2,2.08,111,USA,23 years,2002-02-21,Undrafted,Rookie,2
Detroit Pistons,Guard-Forward,Tim Hardaway Jr.,10.3,2.4,1.6,1.96,93,USA,33 years,1992-03-16,2013 R1 Pick 24,11 Years,3
LA Clippers,Guard,James Harden,22.6,5.8,8.7,1.96,100,USA,35 years,1989-08-26,2009 R1 Pick 3,15 Years,8
Dallas Mavericks,Guard,Jaden Hardy,8.1,1.5,1.4,1.91,90,USA,22 years,2002-07-05,2022 R2 Pick 37,2 Years,7
Utah Jazz,Guard,Elijah Harkless,3.2,2.1,0.8,1.91,88,USA,25 years,2000-02-03,Undrafted,Rookie,2
Detroit Pistons,Guard-Forward,Ron Harper Jr.,--,--,1.0,1.93,106,USA,24 years,2000-04-12,Undrafted,2 Years,4
Orlando Magic,Guard,Gary Harris,2.8,1.3,0.5,1.93,95,USA,30 years,1994-09-14,2014 R1 Pick 19,10 Years,9
Detroit Pistons,Forward,Tobias Harris,13.8,6.1,2.2,2.03,103,USA,32 years,1992-07-15,2011 R1 Pick 19,13 Years,7
New York Knicks,Guard,Josh Hart,13.9,9.7,5.7,1.93,98,USA,30 years,1995-03-06,2017 R1 Pick 30,7 Years,3
Oklahoma City Thunder,Center-Forward,Isaiah Hartenstein,11.4,11.1,3.9,2.13,113,Germany,26 years,1998-05-05,2017 R2 Pick 43,6 Years,5
Boston Celtics,Forward,Sam Hauser,7.8,3.1,0.9,2.01,98,USA,27 years,1997-12-08,Undrafted,3 Years,12
New Orleans Pelicans,Guard,Jordan Hawkins,10.6,2.7,1.2,1.96,86,USA,22 years,2002-04-29,2023 R1 Pick 14,1 Year,4
Los Angeles Lakers,Center-Forward,Jaxson Hayes,6.9,4.8,1.2,2.13,100,USA,24 years,2000-05-23,2019 R1 Pick 8,5 Years,5
NA,NA,Killian Hayes,9.0,3.0,5.2,1.96,88,France,23 years,2001-07-27,2020 R1 Pick 7,4 Years,7
Portland Trail Blazers,Guard,Scoot Henderson,12.8,3.0,5.0,1.91,93,USA,21 years,2004-02-03,2023 R1 Pick 3,1 Year,2
Utah Jazz,Forward,Taylor Hendricks,4.7,5.0,0.7,2.06,98,USA,21 years,2003-11-22,2023 R1 Pick 9,1 Year,11
Miami Heat,Guard,Tyler Herro,23.4,5.2,5.6,1.96,88,USA,25 years,2000-01-20,2019 R1 Pick 13,5 Years,1
Golden State Warriors,Guard,Buddy Hield,11.2,3.2,1.7,1.93,100,Bahamas,32 years,1992-12-17,2016 R1 Pick 6,8 Years,12
Miami Heat,Forward,Haywood Highsmith,6.3,3.1,1.4,1.96,100,USA,28 years,1996-12-09,2018,4 Years,12
Houston Rockets,Guard,Aaron Holiday,5.3,1.3,1.3,1.83,84,USA,28 years,1996-09-30,2018 R1 Pick 23,6 Years,9
Boston Celtics,Guard,Jrue Holiday,10.9,4.3,3.8,1.93,93,USA,34 years,1990-06-12,2009 R1 Pick 17,15 Years,6
Detroit Pistons,Forward,Ronald Holland II,6.3,2.6,0.9,2.03,93,USA,19 years,2005-07-07,2024 R1 Pick 5,Rookie,7
Washington Wizards,Forward,Richaun Holmes,7.5,5.9,1.5,2.06,107,USA,31 years,1993-10-15,2015 R2 Pick 37,9 Years,10
Denver Nuggets,Forward,DaRon Holmes II,--,--,--,2.08,102,USA,22 years,2002-08-15,2024 R1 Pick 22,Rookie,8
Oklahoma City Thunder,Center-Forward,Chet Holmgren,15.2,8.3,1.8,2.16,94,USA,22 years,2002-05-01,2022 R1 Pick 2,1 Year,5
Philadelphia 76ers,Guard,Jalen Hood-Schifino,7.0,1.7,2.1,1.96,95,USA,21 years,2003-06-19,2023 R1 Pick 17,1 Year,6
Boston Celtics,Center-Forward,Al Horford,8.4,5.9,2.1,2.06,109,Dominican Republic,38 years,1986-06-03,2007 R1 Pick 3,17 Years,6
Chicago Bulls,Guard,Talen Horton-Tucker,5.4,1.7,1.3,1.93,106,USA,24 years,2000-11-25,2019 R2 Pick 46,5 Years,11
Orlando Magic,Guard,Caleb Houstan,3.2,1.0,0.4,2.03,93,Canada,22 years,2003-01-09,2022 R2 Pick 32,2 Years,1
Orlando Magic,Guard,Jett Howard,4.1,1.2,0.7,1.98,98,USA,21 years,2003-09-14,2023 R1 Pick 11,1 Year,9
Chicago Bulls,Guard-Forward,Kevin Huerter,9.3,3.0,2.0,2.01,90,USA,26 years,1998-08-27,2018 R1 Pick 19,6 Years,8
Memphis Grizzlies,Center,Jay Huff,7.0,2.1,0.6,2.16,109,USA,27 years,1997-08-25,Undrafted,3 Years,8
New York Knicks,Center,Ariel Hukporti,1.9,2.0,0.4,2.11,112,Germany,22 years,2002-04-12,2024 R2 Pick 58,Rookie,4
Cleveland Cavaliers,Forward-Guard,De'Andre Hunter,17.4,3.9,1.4,2.03,100,USA,27 years,1997-12-02,2019 R1 Pick 4,5 Years,12
